Date,volume,direction_num,direction,sma_3,sma_7,sma_14,ema_3,ema_7,ema_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,rsi_3,rsi_7,rsi_14,BBL_3_2.0,BBM_3_2.0,BBU_3_2.0,BBB_3_2.0,BBP_3_2.0,BBL_7_2.0,BBM_7_2.0,BBU_7_2.0,BBB_7_2.0,BBP_7_2.0,BBL_14_2.0,BBM_14_2.0,BBU_14_2.0,BBB_14_2.0,BBP_14_2.0,STOCHk_14_3_3,STOCHd_14_3_3,atr_3,atr_7,atr_14,cmf_3,cmf_7,cmf_14,ADX_3,DMP_3,DMN_3,ADX_7,DMP_7,DMN_7,ADX_14,DMP_14,DMN_14,pos_sma_3,pos_sma_7,pos_sma_14,pos_ema_3,pos_ema_7,pos_ema_14,pos_BBL_3_2.0,pos_BBM_3_2.0,pos_BBU_3_2.0,pos_BBL_7_2.0,pos_BBM_7_2.0,pos_BBU_7_2.0,pos_BBL_14_2.0,pos_BBM_14_2.0,pos_BBU_14_2.0
2022-11-08,60728100,182.099609375,1,13374.519856770834,13316.587193080357,13131.948660714286,13431.587284164547,13314.52626928778,13141.851675972226,215.01493653251237,63.443671966083315,151.57126456642905,80.20131285032554,76.8263741671725,69.1030708788924,13023.789319933143,13374.519856770834,13725.250393608525,5.244757054364596,4.089279624738097,13059.442127310707,13316.587193080357,13573.732258850006,3.862026539401459,2.902718865640321,12637.00075097178,13131.948660714286,13626.896570456793,7.538072566841496,7.257907512196842,84.79293033132959,82.55812577638359,248.94410517959764,231.4361725533099,236.7788627237713,0.37845359688076585,0.11711778270026944,0.3258242971749161,215.01493653251237,63.443671966083315,151.57126456642905,215.01493653251237,63.443671966083315,151.57126456642905,215.01493653251237,63.443671966083315,151.57126456642905,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2022-11-09,64013300,12.33984375,1,13560.706380208334,13380.21861049107,13199.615792410714,13560.168642082273,13408.082201965835,13214.771452509262,239.1203925132013,70.0393023574178,169.0810901557835,87.37066272645077,81.08686723934112,72.01826384956568,13369.896242292602,13560.706380208334,13751.516518124066,2.8141622208444423,5.244757054364596,13025.244066149977,13380.21861049107,13735.193154832165,5.30596030864201,3.862026539401459,12678.405482583008,13199.615792410714,13720.82610223842,7.897355771936668,7.538072566841496,94.77015558336741,86.94560352093085,233.1961352238984,227.18817580462274,234.27324362296622,0.6037655415745954,0.11989677123943406,0.42161016216192587,239.1203925132013,70.0393023574178,169.0810901557835,239.1203925132013,70.0393023574178,169.0810901557835,239.1203925132013,70.0393023574178,169.0810901557835,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2022-11-10,114862700,542.2998046875,1,13629.529947916666,13439.158621651786,13263.823660714286,13613.244477291137,13472.641729599376,13274.977967174695,253.49215198510137,67.52884946345429,185.96330252164708,81.01248247882192,78.64931538570607,70.97619682476065,13492.521210465673,13629.529947916666,13766.53868536766,2.0104690033266404,2.8141622208444423,13052.190884099658,13439.158621651786,13826.126359203914,5.758808991638588,5.30596030864201,12749.985179432537,13263.823660714286,13777.662141996036,7.747969129047936,7.897355771936668,96.81294441844004,92.125343444379,200.14410317009893,213.88129912717665,227.11372901150435,0.6453672555516162,0.2404533398327006,0.4341305237264248,253.49215198510137,67.52884946345429,185.96330252164708,253.49215198510137,67.52884946345429,185.96330252164708,253.49215198510137,67.52884946345429,185.96330252164708,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1
2022-11-11,103682300,45.470703125,1,13833.720052083334,13554.49428013393,13364.908621651786,13879.667160520568,13641.003758137032,13391.126217384737,300.13549136353686,91.33775107351181,208.79774029002505,94.30641724138948,87.80079240568377,78.23175146748387,13391.583006120598,13833.720052083334,14275.85709804607,6.392164136589578,2.0104690033266404,12941.02463771942,13554.49428013393,14167.963922548439,9.051900126051002,5.758808991638588,12761.244338816634,13364.908621651786,13968.572904486939,9.033571420865348,7.747969129047936,98.98776152277522,96.85695384152757,319.39619898839925,263.0268836268657,250.7413476981826,0.8797989074129039,0.47505826806587537,0.4840318335029245,300.13549136353686,91.33775107351181,208.79774029002505,300.13549136353686,91.33775107351181,208.79774029002505,300.13549136353686,91.33775107351181,208.79774029002505,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2022-11-14,72405100,17.490234375,1,14012.423502604166,13692.797154017857,13457.29506138393,14052.263756041535,13786.967906493399,13502.290768608438,339.54275797996524,104.59601415195215,234.9467438280131,95.14376734953194,88.72638596017352,79.15320056693858,13518.752189885616,14012.423502604166,14506.094815322716,7.04619458049927,6.392164136589578,12981.48321598397,13692.797154017857,14404.111092051744,10.389607470744826,9.051900126051002,12758.812176173722,13457.29506138393,14155.777946594137,10.380732264904005,9.033571420865348,98.1385568680609,97.97975426975871,252.07760922143282,242.2288187783849,241.21985355456243,0.5882534816056904,0.5608143595657284,0.45708873738188127,339.54275797996524,104.59601415195215,234.9467438280131,339.54275797996524,104.59601415195215,234.9467438280131,339.54275797996524,104.59601415195215,234.9467438280131,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
2022-11-15,77960600,6.08984375,1,14228.083333333334,13861.812779017857,13547.3193359375,14182.781780364518,13918.550881041923,13610.425306752313,373.60296303722316,110.92497536736806,262.6779876698551,96.10779734995619,89.74552048556872,80.16822508738552,14091.480908095687,14228.083333333334,14364.68575857098,1.9201802806090742,7.04619458049927,13205.425959249602,13861.812779017857,14518.199598786112,9.470432622806806,10.389607470744826,12761.122294070583,13547.3193359375,14333.516377804417,11.606680589293287,10.380732264904005,96.07216630401278,97.7328282316163,236.82485146012186,237.09889265825845,238.72695943905796,0.36918284769676857,0.4825718342223365,0.36519382576153653,373.60296303722316,110.92497536736806,262.6779876698551,373.60296303722316,110.92497536736806,262.6779876698551,373.60296303722316,110.92497536736806,262.6779876698551,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2022-11-16,76202800,-140.830078125,0,14305.556640625,13993.04994419643,13631.797921316964,14280.645772994758,14033.540602187692,13712.83656793534,401.2326594612896,110.84373743314757,290.388922028142,96.80851495517105,90.48541986278363,80.9064298813585,14179.625410156807,14305.556640625,14431.487871093193,1.7605918264036402,1.9201802806090742,13343.295954887319,13993.04994419643,14642.80393350554,9.286810122172028,9.470432622806806,12764.820275223985,13631.797921316964,14498.775567409943,12.719931018596267,11.606680589293287,94.87235852928502,96.36102723378623,216.0033514942479,228.13624393029295,234.12934459073242,0.07644961551169323,0.44851781627197057,0.32190021992768764,401.2326594612896,110.84373743314757,290.388922028142,401.2326594612896,110.84373743314757,290.388922028142,401.2326594612896,110.84373743314757,290.388922028142,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2022-11-17,58048700,-82.080078125,0,14308.61328125,14093.12290736607,13704.855050223214,14257.338023216129,14083.663020000144,13782.329062002294,406.781975978447,93.11444316024398,313.66753281820303,60.56904501250916,76.26193771590297,74.30678318010196,14190.460233134283,14308.61328125,14426.766329365717,1.6514954425464088,1.7605918264036402,13550.317199139428,14093.12290736607,14635.928615592713,7.703128849361462,9.286810122172028,12819.762667233448,13704.855050223214,14589.94743321298,12.916479302352782,12.719931018596267,90.88703778385853,93.94385420571878,206.43908328783195,222.30400149382254,230.7851447538944,-0.18051166890562945,0.32557002603249585,0.2377272904469553,406.781975978447,93.11444316024398,313.66753281820303,406.781975978447,93.11444316024398,313.66753281820303,406.781975978447,93.11444316024398,313.66753281820303,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2022-11-18,93252600,111.25,1,14292.973307291666,14175.64146205357,13777.93003627232,14261.858953014314,14129.342235703232,13846.869171443655,409.0746346701999,76.32568148159748,332.7489531886024,64.97284185139819,77.19821771222644,74.8023981061359,14169.156360849618,14292.973307291666,14416.790253733714,1.7325568834426055,1.6514954425464088,13738.474012735209,14175.64146205357,14612.808911371932,6.167868318179529,7.703128849361462,12888.402821554664,13777.93003627232,14667.457250989977,12.912349131921156,12.916479302352782,89.57741118615563,91.77893583309974,215.90600344188798,224.0948361018479,231.0747661107591,-0.10738397276771706,0.22030517394465454,0.17808232461600132,409.0746346701999,76.32568148159748,332.7489531886024,409.0746346701999,76.32568148159748,332.7489531886024,409.0746346701999,76.32568148159748,332.7489531886024,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2022-11-21,48082900,-15.6005859375,0,14310.7568359375,14285.004324776786,13862.081473214286,14346.859652288407,14204.97176466805,13924.8679954595,419.40977919028774,69.32866080134829,350.08111838893944,81.13733301130716,81.54282236439622,77.22280569999008,14137.46578651116,14310.7568359375,14484.04788536384,2.421829277277177,1.7325568834426055,14104.575710386844,14285.004324776786,14465.432939166729,2.5261261430211284,6.167868318179529,12963.970004134797,13862.081473214286,14760.192942293776,12.957815474031241,12.912349131921156,90.4395146956882,90.30132122190078,207.73062989875862,219.42127134622677,228.2394173037406,0.07705212247334144,0.24683970458241944,0.24421355100798192,419.40977919028774,69.32866080134829,350.08111838893944,419.40977919028774,69.32866080134829,350.08111838893944,419.40977919028774,69.32866080134829,350.08111838893944,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2022-11-22,50364700,69.8095703125,1,14359.389973958334,14318.41001674107,13936.4521484375,14363.394669894204,14248.711245376036,13985.542887731568,418.58489894103695,54.80302444167796,363.781874499359,66.65719881777517,76.22535483868221,74.7947305954808,14221.188611121723,14359.389973958334,14497.591336794945,1.9248918385425589,2.421829277277177,14169.370504782302,14318.41001674107,14467.449528699839,2.0817885754704815,2.5261261430211284,13051.66621852044,13936.4521484375,14821.23807835456,12.697434332542924,12.957815474031241,93.49141610858952,91.16944733014445,175.16058920333907,203.79259084140864,219.7952094829377,0.34005435364049164,0.08029249293045143,0.26796328319884527,418.58489894103695,54.80302444167796,363.781874499359,418.58489894103695,54.80302444167796,363.781874499359,418.58489894103695,54.80302444167796,363.781874499359,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1
2022-11-23,51115900,-10.6103515625,0,14411.3798828125,14346.622767857143,14019.7099609375,14392.8721396346,14292.120836375778,14043.783783950692,416.5523523546908,42.21638228426542,374.3359700704254,72.64000709701095,77.61640178303736,75.4731359010646,14366.229773380785,14411.3798828125,14456.529992244215,0.6265896784188308,1.9248918385425589,14204.490953781587,14346.622767857143,14488.754581932699,1.9813975229626104,2.0817885754704815,13188.70309043778,14019.7099609375,14850.71683143722,11.854836837782194,12.697434332542924,96.15193198893327,93.36095426440367,164.00386936472606,194.92085353370743,214.21629664040645,0.3841659928787581,0.06798091172213688,0.32736065560079675,416.5523523546908,42.21638228426542,374.3359700704254,416.5523523546908,42.21638228426542,374.3359700704254,416.5523523546908,42.21638228426542,374.3359700704254,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2022-11-24,50503400,83.4091796875,1,14409.956380208334,14362.949916294643,14112.38134765625,14410.2309916923,14325.988088219334,14094.957925257268,410.63089036562087,29.035936236156317,381.59495412946455,73.52041961381438,77.80357273785322,75.56064499008356,14367.277213695772,14409.956380208334,14452.635546720896,0.5923566371259892,0.6265896784188308,14213.796574158341,14362.949916294643,14512.103258430945,2.0769179452069073,1.9813975229626104,13421.234750562364,14112.38134765625,14803.527944750136,9.794896836580598,11.854836837782194,95.25965333053045,94.96766714268442,136.9426837431507,178.90649052889208,204.830869201806,0.26099127146895096,0.1732636232551513,0.34243797651700947,410.63089036562087,29.035936236156317,381.59495412946455,410.63089036562087,29.035936236156317,381.59495412946455,410.63089036562087,29.035936236156317,381.59495412946455,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2022-11-25,46218800,-6.2001953125,0,14463.166341145834,14385.95703125,14189.503487723214,14474.8952810024,14379.380958742626,14154.238144597966,410.2440719476508,22.919294254549015,387.3247776931018,86.96462170459988,81.63234082812339,77.41489322990142,14355.045308829142,14463.166341145834,14571.287373462526,1.495122572283527,0.5923566371259892,14191.49759194725,14385.95703125,14580.41647055275,2.703461978655062,2.0769179452069073,13569.524988794472,14189.503487723214,14809.481986651956,8.738550992501583,9.794896836580598,96.18723074057947,95.86627202001439,139.00182822460047,173.7941514801218,200.42295834364128,0.38436128595749525,0.19065981616309094,0.3358097209298649,410.2440719476508,22.919294254549015,387.3247776931018,410.2440719476508,22.919294254549015,387.3247776931018,410.2440719476508,22.919294254549015,387.3247776931018,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2022-11-28,53336900,-87.7392578125,0,14502.843098958334,14429.86411830357,14261.49351283482,14508.13758190745,14419.880689760095,14205.857043026572,405.4110730794673,14.469036309092417,390.9420367703749,87.12404071936005,81.69223759447416,77.44485405670343,14396.408546937064,14502.843098958334,14609.277650979604,1.4677749913589664,1.495122572283527,14254.60100886425,14429.86411830357,14605.12722774289,2.429172000545832,2.703461978655062,13736.06774229345,14261.49351283482,14786.919283376192,7.368453662563562,8.738550992501583,96.6946458976867,96.04717665626555,117.20466933723365,159.48218006331868,191.3649150021312,0.41351486572892926,0.33806940681833886,0.3307068629924216,405.4110730794673,14.469036309092417,390.9420367703749,405.4110730794673,14.469036309092417,390.9420367703749,405.4110730794673,14.469036309092417,390.9420367703749,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1
2022-11-29,51089400,-49.2197265625,0,14488.099934895834,14446.575613839286,14311.10853794643,14445.748966734975,14410.750605210696,14229.524150831363,384.39891964337585,-5.234493701599263,389.6334133449751,33.6065145063807,61.41054753433549,68.90007492597384,14339.968339148174,14488.099934895834,14636.231530643494,2.044872639108076,1.4677749913589664,14321.823030897067,14446.575613839286,14571.328196781506,1.7270886371537202,2.429172000545832,13890.698491147572,14311.10853794643,14731.518584745287,5.875296741466599,7.368453662563562,92.00202553723165,94.96130072516594,133.87961028732244,160.58893893820172,189.64095622965755,-0.0879542637276416,0.22508337336262796,0.22226052489849066,384.39891964337585,-5.234493701599263,389.6334133449751,384.39891964337585,-5.234493701599263,389.6334133449751,384.39891964337585,-5.234493701599263,389.6334133449751,1,1,0,1,1,0,0,1,1,0,1,1,0,0,1
2022-11-30,97644000,-32.1796875,0,14426.730143229166,14435.659877232143,14360.332101004464,14400.599581023736,14396.925502736147,14246.314290095515,361.329340587823,-22.64325820572168,383.9725987935447,28.90280240031715,58.421751939095394,67.48381143161104,14262.997301519505,14426.730143229166,14590.462984938828,2.26985380726076,2.044872639108076,14295.275014430137,14435.659877232143,14576.044740034149,1.9449732675320277,1.7270886371537202,14139.360852238146,14360.332101004464,14581.303349770782,3.077522820671563,5.875296741466599,85.46995685927946,91.38887609806595,123.52976623321496,152.33767310774434,183.440179222182,-0.4050160585210645,0.00848915874783302,0.15858077596722278,361.329340587823,-22.64325820572168,383.9725987935447,361.329340587823,-22.64325820572168,383.9725987935447,361.329340587823,-22.64325820572168,383.9725987935447,0,1,0,0,0,0,0,0,1,0,1,1,0,0,1
2022-12-01,61595900,-53.5,0,14378.616861979166,14438.104213169643,14378.257114955357,14398.819810043118,14396.954136817734,14266.411056624447,342.4548791131001,-33.214175744355714,375.6690548574558,45.84507006858681,61.66527787560986,68.52215033946464,14344.002633850316,14378.616861979166,14413.231090108016,0.4814681197936277,2.26985380726076,14301.131522695889,14438.104213169643,14575.076903643398,1.8973777782932961,1.9449732675320277,14191.672421887177,14378.257114955357,14564.841808023537,2.595372882490833,3.077522820671563,72.60693234229525,83.35963824626879,126.4365108221433,149.46800552092373,179.783737849169,-0.5637065110069035,-0.11816384313500443,-0.005131790234263453,342.4548791131001,-33.214175744355714,375.6690548574558,342.4548791131001,-33.214175744355714,375.6690548574558,342.4548791131001,-33.214175744355714,375.6690548574558,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1
2022-12-02,55190800,63.689453125,1,14414.263346354166,14447.81138392857,14397.217075892857,14444.55980736531,14420.290553785177,14296.262889699521,331.2041013794769,-35.57196278238314,366.77606416186006,69.9394042439718,68.16270194458144,70.77573947145156,14301.497086356527,14414.263346354166,14527.029606351805,1.5646482555233947,0.4814681197936277,14307.10048584011,14447.81138392857,14588.522282017031,1.9478507069241529,1.8973777782932961,14223.32158794829,14397.217075892857,14571.112563837423,2.4156819616999785,2.595372882490833,72.36621555280543,76.81436825146005,139.84439263142886,151.9240270536489,178.84633916351407,-0.3356341193553818,-0.13562121154426152,-0.026388429794581142,331.2041013794769,-35.57196278238314,366.77606416186006,331.2041013794769,-35.57196278238314,366.77606416186006,331.2041013794769,-35.57196278238314,366.77606416186006,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2022-12-05,50074900,-39.8193359375,0,14472.2431640625,14462.354213169643,14412.652064732143,14486.974727901405,14447.565327448257,14327.346457531252,321.73326190009175,-36.03424180941465,357.7675037095064,76.51019002371447,70.59950245945308,71.69059950069789,14361.203994055697,14472.2431640625,14583.282334069303,1.534512221056867,1.5646482555233947,14312.278289816048,14462.354213169643,14612.430136523239,2.075401018970121,1.9478507069241529,14233.024769044572,14412.652064732143,14592.279360419714,2.492633484535718,2.4156819616999785,75.54748176582552,73.50687655364207,163.95290237928592,160.53058345669908,181.22659507147733,-0.0991540017881342,-0.13792600832478455,0.02471912645867947,321.73326190009175,-36.03424180941465,357.7675037095064,321.73326190009175,-36.03424180941465,357.7675037095064,321.73326190009175,-36.03424180941465,357.7675037095064,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1
2022-12-06,50930900,-63.6796875,0,14489.099934895834,14449.21861049107,14417.587820870536,14467.292539731952,14447.576583476817,14343.381643402086,304.1229080057019,-42.91567656304363,347.03858456874553,45.38114186846261,59.486564496830134,66.96737570304538,14422.305861007384,14489.099934895834,14555.894008784284,0.9219906576471567,1.534512221056867,14313.017549602217,14449.21861049107,14585.419671379925,1.885237735831102,2.075401018970121,14238.187072078754,14417.587820870536,14596.988569662319,2.488637503315034,2.492633484535718,78.84267253456468,75.5854566177319,154.3084453361906,156.88614742717064,177.92609051280039,0.12368330711755672,-0.2049293882091467,-0.0042196263712329166,304.1229080057019,-42.91567656304363,347.03858456874553,304.1229080057019,-42.91567656304363,347.03858456874553,304.1229080057019,-42.91567656304363,347.03858456874553,1,1,1,1,1,0,1,1,1,0,1,1,0,1,1
